trial,analysis,hsv_h_just,hsv_s_just,hsv_v_just,degrees_just,translate_just,scale_just,shear_just,perspective_just,flipud_just,fliplr_just,bgr_just,mosaic_just,mixup_just,cutmix_just,copy_paste_just,close_mosaic_just,hsv_h_value,hsv_s_value,hsv_v_value,degrees_value,translate_value,scale_value,shear_value,perspective_value,flipud_value,fliplr_value,bgr_value,mosaic_value,mixup_value,cutmix_value,copy_paste_value,close_mosaic_value
10,"The hsv_s bracket is now complete: 0.3→0.3750, 0.6→0.3782, 0.85→0.3731, confirming an interior optimum at or near 0.6, so I lock hsv_s=0.6 with the trial-7 best configuration (degrees=0, mosaic=0.25, scale=0.3). The next untested photometric axis is brightness (hsv_v, held at 0.5 in every trial). Outdoor drone imagery naturally varies most in illumination intensity (sun angle, cloud cover, canopy shadow), and brightness jitter preserves hue — the discriminative channel — so I probe upward to hsv_v=0.7 as a clean single-variable test; if it regresses I will bracket downward next. All other knobs stay at the trial-7 best for unambiguous attribution, with translate, close_mosaic, and hsv_h queued for later probes given the ample remaining budget.",Hue is the class-discriminative channel separating peach fragments from green foliage; the tight 0.015 jitter has been in every strong trial and remains untested only because it is low-risk. Keep it fixed for clean attribution of the hsv_v probe.,"The completed bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at or near 0.6, so I lock it there.","Brightness has been fixed at 0.5 in all trials and is the dominant natural variation axis in outdoor drone imagery (sun, clouds, canopy shadow); unlike hue jitter, it preserves the discriminative color signature. Probing upward to 0.7 tests whether more illumination robustness helps, mirroring how moderate-strong saturation jitter proved beneficial.","The degrees bracket was monotonic (45→~0.370, 15→0.3732, 0→0.3782): rotation only costs on this data since flips already cover the symmetry and rotation's border-fill/blur corrupts tiny color fragments. Keep at 0.","Untested but low-risk at 0.15, which mimics tile-edge truncation seen in 21% of boxes. Held constant to keep this trial a clean hsv_v probe; a translate bracket is queued for a later trial.",Scale bracket showed 0.15 clearly hurts (-0.009) while 0.3 and 0.5 are statistically tied (0.3720 vs 0.3715); keeping 0.3 matches the trial-7 best configuration.,Shear produces off-distribution geometric distortion of small round objects with no counterpart in nadir imagery; evidence so far consistently favors minimal geometric warping. Keep at 0.,Nadir imagery from fixed altitude has essentially no perspective variation; warping would only distort tiny boxes. Keep at 0.,"Nadir scenes are statistically symmetric under vertical flip; this is a free, distribution-preserving augmentation present in every strong trial. Keep at 0.5.",Horizontal flip is equally valid for nadir imagery and costless. Keep at 0.5.,"Channel swapping is a categorical color change that would destroy the peach-vs-foliage hue cue, the core discriminative signal. Keep at 0.","The completed mosaic bracket (0.0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679) shows an interior optimum near 0.25 — some densification/truncation-mimicry helps but heavy source-downsizing hurts the small-object distribution. Keep at 0.25.",Blending images washes out the small color fragments that carry the detection signal; no evidence yet warrants enabling it. Keep at 0.,Pasted regions can occlude or fragment tiny peaches and create label noise; kept off in all strong trials. Keep at 0.,Likely a no-op or noisy with box-only labels; keep disabled.,"With mosaic at only 0.25, the final mosaic-free phase has modest marginal effect; keeping 10 preserves the trial-7 best setup for clean attribution of the hsv_v change.",0.015,0.6,0.7,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
11,"Trial 10's hsv_v probe (0.5→0.7) was flat-to-slightly-negative (0.3775 vs 0.3782), suggesting the brightness optimum sits near 0.5; I revert hsv_v and keep the trial-7 best base (degrees=0, mosaic=0.25, scale=0.3, hsv_s=0.6). The next untested first-order knob is translate, held at 0.15 in every trial. Because 21% of validation boxes are tile-edge-truncated, stronger translation directly mimics the test distribution's truncation phenomenon at low cost (no interpolation blur, no object shrinkage), so I run a clean single-variable probe upward to translate=0.3. If it regresses I will bracket downward; if it helps, translate becomes a cheap gain to stack with later close_mosaic and hsv_h probes.","Hue is the class-discriminative channel separating peach fragments from foliage; it has been held tight at 0.015 across all trials including the best, and I keep it fixed for attribution (a dedicated hue probe is queued later).","The completed saturation bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at ~0.6, so I lock it.","Trial 10 showed 0.7 was slightly worse than 0.5 (0.3775 vs 0.3782), so I revert to 0.5, the value in the best configuration.","The rotation bracket was monotonic (45→~0.370, 15→0.3732, 0→0.3782): rotation only costs on this data since flips already cover nadir symmetry and rotation's border-fill/blur corrupts tiny color fragments. Keep at 0.","Translate has never been probed (held at 0.15). Since 21% of boxes are tile-edge-truncated, stronger translation replicates the exact truncation phenomenon present in validation without shrinking objects or blurring pixels — this is the clean single-variable probe of this trial.","The scale bracket showed 0.15 hurts clearly and 0.3 vs 0.5 are roughly flat (0.3720 vs 0.3715); 0.3 was in the best trial, so I keep it.",Shear produces off-distribution geometric distortion never seen in nadir imagery and warps axis-aligned boxes of small round objects; kept disabled as in all trials.,Nadir orthomosaic tiles have no perspective variation; the warp would only distort tiny boxes. Kept at 0.,"Nadir imagery is vertically symmetric; flipud=0.5 is a free, distribution-preserving augmentation present in every trial including the best.",Horizontal flips are exactly on-distribution for nadir imagery; keep at 0.5 as in all trials.,"Channel swapping is a categorical color change that destroys the peach-vs-foliage hue cue, the primary discriminative signal. Kept disabled.","The completed mosaic bracket (0.0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679) located an interior optimum at 0.25; keep it locked.",Blending images would wash out the small colored fragments that carry the detection signal; kept disabled as in all trials to preserve attribution for the translate probe.,Cutmix pastes rectangles that can occlude or fragment tiny peaches and create label noise; kept disabled.,With box-only labels copy-paste has limited/no effect in Ultralytics; kept at 0.,"Held at 10 in every trial including the best; with mosaic already low at 0.25 its effect is modest, and I keep it fixed so the translate change is the only variable. A close_mosaic probe is queued for a later trial.",0.015,0.6,0.5,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
12,"Twelve trials have converged on a strong base (trial 7, 0.3782): mosaic=0.25, scale=0.3, degrees=0, hsv_s=0.6, hsv_v=0.5, translate=0.15, full flips. The completed brackets show that object-shrinking and image-blurring augmentations (heavy mosaic, scale-down, rotation) hurt, while modest photometric jitter helps, and translate=0.3 slightly regressed. The remaining untested levers are the mixing-family regularizers (cutmix, mixup, copy_paste), bgr, hsv_h, and close_mosaic. Cutmix is the most promising: it pastes intact regions without shrinking or blending objects, directly mimics the pervasive foliage-occlusion phenomenon in this data, and adds instance density to sparse scenes — so this trial runs a clean single-variable probe at cutmix=0.25 on the trial-7 best base for unambiguous attribution.",Hue is the discriminative channel separating peach fragments from foliage; 0.015 has been in every top-scoring trial and remains untested only because it is low-risk. Keep it fixed to isolate the cutmix probe.,"The saturation bracket is complete with an interior optimum at 0.6 (0.3→0.3750, 0.6→0.3782, 0.85→0.3731). Keep at the located optimum.","Trial 10 showed hsv_v=0.7 was flat-to-negative versus 0.5, so the brightness optimum sits near 0.5. Keep unchanged.","The degrees bracket was monotonic: 45→~0.370, 15→0.3732, 0→0.3782 — rotation's border-fill and interpolation blur only cost on this data since flips already cover nadir symmetry. Keep at 0.","Trial 11's translate=0.3 slightly regressed (0.3769 vs 0.3782), so the optimum is at or below 0.15. Keep at 0.15 while probing cutmix; a downward translate probe can follow later.","The scale bracket showed 0.15 clearly hurts and 0.3–0.5 is flat, with 0.3 marginally best. Keep at 0.3, the value in the best configuration.",Shear produces off-distribution geometric distortion of small round objects never seen in nadir validation imagery; it has been 0 in all trials and stays disabled.,Nadir imagery has no perspective variation; warping would only distort tiny axis-aligned boxes. Keep disabled.,Nadir scenes are statistically flip-symmetric; flipud=0.5 has been in every trial including the best. Keep unchanged.,Same symmetry argument as flipud; 0.5 is the natural probability and has been constant across all trials. Keep unchanged.,Channel swapping is a categorical color change that maps orange peaches to blue — destroying the sole discriminative color cue. Keep disabled.,"The mosaic bracket located an interior optimum at 0.25 (0.0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679), balancing densification/truncation-mimicry against source downsizing. Keep at 0.25.","Mixup blends entire images, producing translucent ghost peaches whose faint color fragments would be nearly invisible — the worst-case corruption for a color-fragment-dependent task. Keep disabled.","This trial's single-variable probe: cutmix pastes intact rectangular regions without shrinking, blurring, or blending objects, mimics the pervasive foliage-occlusion and tile-edge truncation in this data, and densifies sparse scenes (median 1 instance/tile) — a plausible regularization gain for a nano model on 1,781 images. A moderate probability of 0.25 tests the hypothesis with limited risk.","With only bounding-box labels, copy-paste degenerates to crude rectangular patch pasting with hard seams; keep disabled to preserve clean attribution of the cutmix probe.","With mosaic at only 0.25, the mosaic-free final phase is a mild change but has been present in every trial including the best; keep at 10 unchanged to isolate cutmix.",0.015,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.25,0.0,10
13,"Trial 7 (0.3782) remains best; subsequent single-variable probes (hsv_v=0.7, translate=0.3, hsv_s=0.85/0.3, cutmix=0.25) all regressed slightly, confirming the base is well-tuned on those axes. One important confound remains: the scale bracket (0.15/0.3/0.5) was run entirely under degrees=45, whose border-fill and blur we later found harmful — so the scale optimum under the current degrees=0 base is unknown, and scale-up zooming is the one geometric augmentation that ENLARGES the many sub-32px peaches. This trial runs a clean single-variable probe at scale=0.45 on the trial-7 base to re-test the scale axis without the rotation confound; queued next are hsv_h, close_mosaic, and a mosaic refinement.",Hue is the class-discriminative channel (orange peach vs green foliage) and 0.015 has been in every trial including the best; keep it fixed for clean attribution of the scale probe.,"Completed bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at 0.6; keep locked.","Trial 10's probe to 0.7 was flat-to-negative (0.3775 vs 0.3782), so the brightness optimum sits near 0.5; keep the trial-7 value.","Monotonic bracket (45→0.368-0.372, 15→0.3732, 0→0.3782) shows rotation only costs here — flips already cover nadir symmetry and rotation's border-fill/blur corrupts tiny color fragments. Keep at 0.","Trial 11 showed 0.3 regressed slightly (0.3769 vs 0.3782), so 0.15 remains the best-supported value; unchanged.","The earlier scale bracket was confounded with degrees=45; under the degrees=0 base, scale-up zoom is the only geometric augmentation that enlarges the 52% COCO-small peaches without blur or border artifacts. Probe upward to 0.45 as this trial's single variable to test whether more zoom range helps on the clean base.",Shear produces off-distribution distortions of round objects never seen in nadir validation imagery; keep disabled as in all trials.,Nadir tiles have no perspective variation; warping would only distort tiny boxes. Keep at 0.,"Nadir imagery is flip-symmetric; 0.5 has been in every trial including the best and is a free, distortion-less augmentation. Keep.",Same symmetry argument as flipud; keep at 0.5 as in the best config.,Channel swapping is a categorical color change that destroys the orange-vs-green discriminative cue; keep disabled.,"Complete bracket (0.0→0.3662, 0.25→0.3720, 0.5→0.3708, 1.0→0.3679) located the interior optimum at 0.25; keep locked while probing scale.","Mixup's global alpha-blending washes out the faint color-fragment evidence for occluded peaches, and the related cutmix probe already regressed; keep at 0.","Trial 12's cutmix=0.25 probe regressed to 0.3765, so revert to 0 as in the best config.",Likely a no-op or crude paste with box-only labels; keep at 0 to preserve attribution.,Kept at 10 in every trial including the best; the mosaic-free final fine-tune matches the validation distribution and will be probed separately later.,0.015,0.6,0.5,0.0,0.15,0.45,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
14,"Trial 7 (0.3782) remains best; the scale re-test at 0.45 under degrees=0 (trial 13, 0.3777) was flat-to-slightly-negative, confirming scale=0.3 as adequate and closing the rotation-confound question. Completed brackets now cover mosaic, scale, degrees, hsv_s, hsv_v, translate, and cutmix — all pointing back to the trial-7 base. The remaining untested first-order axes are hsv_h, close_mosaic, and the mixing regularizers. Hue has sat at 0.015 in every trial, yet peach-orange and foliage-green are separated by roughly a quarter of the hue wheel, so a moderate hue jitter (0.05 ≈ 18°) adds illumination-tint robustness (shade blue-shift, golden-hour warmth) without risking class confusion. This trial runs a clean single-variable probe at hsv_h=0.05 on the trial-7 base; if it regresses, hue stays tight and remaining budget shifts to close_mosaic and fine refinement.","Only 0.015 has ever been tested; peach hue and foliage hue are far apart on the hue wheel (~0.2 fraction), so jitter of 0.05 cannot flip the discriminative relationship but does model realistic outdoor tint shifts (shadow blue-cast, warm sun). Clean single-variable probe upward.","Bracket complete: 0.3→0.3750, 0.6→0.3782, 0.85→0.3731 — interior optimum at 0.6. Keep.",0.7 was flat-to-negative (0.3775 vs 0.3782); optimum near 0.5. Keep.,Monotonic bracket 45→15→0 improved consistently (0.3679/0.3720 → 0.3732 → 0.3782); rotation border-fill and blur only cost here since flips cover the nadir symmetry. Keep at 0.,0.3 regressed slightly (0.3765); 0.15 already mimics tile-edge truncation adequately. Keep.,"Re-tested under degrees=0: 0.45 gave 0.3777 vs 0.3782 at 0.3, so scale=0.3 is at or near the optimum without the rotation confound. Keep.",Shear produces off-distribution warps of round objects in nadir imagery and distorts axis-aligned boxes; never tested and low prior. Keep at 0.,Nadir tiles have no perspective variation; warping adds unrealistic distortion to tiny objects. Keep at 0.,Nadir imagery is vertically flip-symmetric; full flip coverage has been in every strong trial. Keep at 0.5.,Horizontal flip is a true invariance of nadir imagery; keep at 0.5.,Channel swap would turn orange peaches into blue blobs — a categorical destruction of the color cue detection depends on. Keep at 0.,"Bracket complete with interior optimum at 0.25 (0→0.3662, 0.25→0.3720/0.3782, 0.5→0.3708, 1.0→0.3679). Keep at 0.25.","Blending images washes out the small color fragments that carry the class signal; cutmix at 0.25 already regressed slightly, lowering the prior on mixing-family gains. Keep at 0.",Tested at 0.25 in trial 12 and slightly regressed (0.3765 vs 0.3782). Keep at 0.,Likely a no-op or crude rectangular paste with box-only labels; not worth confounding this clean hue probe. Keep at 0.,The mosaic-free final phase fine-tunes on clean full-resolution tiles matching the validation distribution; with mosaic already low this is cheap insurance and has been in every strong trial. Keep at 10; a dedicated probe may come later.,0.05,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
15,"Trial 7 (0.3782) remains the best; probes on hsv_h (0.05 regressed to 0.3715), scale (0.45 flat), translate (0.3 slightly down), and cutmix (slightly down) all confirm the base. One remaining confound mirrors the scale re-test: the entire mosaic bracket (0.0/0.25/0.5/1.0) was run under degrees=45, where rotation border-fill compounds mosaic's downsizing cost — the mosaic optimum under the current degrees=0 base is unknown, and only mosaic=0.25 has been evaluated there. Since mosaic densifies sparse scenes (median 1 instance/tile) and mimics tile-edge truncation, its benefit may be larger without rotation corruption, so this trial runs a clean single-variable re-probe at mosaic=0.5 on the trial-7 base; if it regresses, mosaic=0.25 is confirmed and remaining budget shifts to close_mosaic, bgr, and fine refinement.","Trial 14 showed hsv_h=0.05 clearly regressed (0.3715 vs 0.3782), confirming the peach-vs-foliage hue cue must stay tightly preserved; keep the trial-7 value.","The completed saturation bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at 0.6; keep unchanged.","hsv_v=0.7 was flat-to-slightly-negative versus 0.5, so the brightness optimum sits near 0.5; keep the trial-7 value.","The degrees bracket was monotonic (45→0.368/0.372, 15→0.3732, 0→0.3782) — flips already cover nadir symmetry while rotation border-fill and blur corrupt tiny color fragments; keep at 0.","translate=0.3 slightly regressed (0.3765), so the optimum is at or below 0.15; keep unchanged for clean attribution of the mosaic probe.","Trial 13 re-tested scale=0.45 under degrees=0 and found it flat-to-negative, confirming 0.3 as adequate; keep unchanged.",Shear produces off-distribution geometric distortion of round objects with no plausible nadir analogue; keep disabled.,Nadir imagery from fixed altitude has essentially no perspective variation; warping only distorts tiny axis-aligned boxes. Keep disabled.,Nadir imagery is vertically flip-symmetric; this has been in every trial including the best. Keep at 0.5.,Horizontal flips are a true invariance of nadir imagery and part of every trial; keep at 0.5.,Channel swap is a categorical color change that would destroy the peach-orange vs foliage-green discrimination — the core signal this task depends on. Keep disabled.,"The original mosaic bracket was entirely confounded with degrees=45, whose border-fill compounds mosaic's downsizing cost; under the current degrees=0 base only mosaic=0.25 has been tested. Mosaic densifies sparse single-peach scenes and mimics tile-edge truncation (21% of boxes), so its optimum may sit higher without rotation corruption — probe 0.5 as a clean single-variable test.",Blending images would wash out the faint color-fragment cues of occluded sub-32px peaches; cutmix's mild regression supports keeping mixing regularizers off.,Trial 12's cutmix=0.25 probe slightly regressed (0.3777 vs 0.3782); keep disabled.,"With only bounding-box labels, copy-paste has limited/no effect or pastes rectangular patches with harsh boundaries; keep disabled.","Keep at 10 so the final mosaic-free fine-tuning phase is preserved, holding this axis constant while the mosaic probability is the sole variable under test; close_mosaic will be probed separately later.",0.015,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,10
16,"Trial 7 (0.3782) remains the best; the mosaic re-probe at 0.5 under degrees=0 (trial 15, 0.3741) regressed clearly, confirming the downward slope from 0.5 to 0.25 persists without the rotation confound. However, the low end of the mosaic axis (below 0.25) has never been tested under the degrees=0 base — the old mosaic=0.0 point (0.3662) was measured under degrees=45, whose border-fill corruption we later identified as the dominant harm. Given the consistent evidence that object-shrinking augmentation costs recall on this 52%-COCO-small distribution, an interior optimum below 0.25 is plausible, so this trial runs a clean single-variable probe at mosaic=0.1 on the trial-7 base. All other knobs stay at the well-confirmed best configuration for unambiguous attribution, with close_mosaic and low-probability mixing regularizers queued for later probes.","Hue is the discriminative channel separating peach-orange from foliage-green; the hsv_h=0.05 probe (trial 14) regressed clearly to 0.3715, so hue jitter stays tight at the best-known value.","The saturation bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at 0.6; keeping it unchanged.","hsv_v=0.7 (trial 10) was flat-to-slightly-negative versus 0.5, so brightness jitter stays at the trial-7 value of 0.5.","The rotation bracket was monotonic (45→0.368/0.372, 15→0.373, 0→0.378): flips already cover nadir symmetry and rotation's border-fill/blur only corrupts tiny color fragments. Keeping 0.","translate=0.3 (trial 11) slightly regressed, so 0.15 stays as the confirmed value; it provides sufficient edge-truncation mimicry matching the 21% edge-clipped boxes.",The scale re-test at 0.45 under degrees=0 was flat-to-slightly-negative and 0.15 hurt badly under the old base; 0.3 remains the plateau center and stays fixed for clean mosaic attribution.,Shear produces off-distribution geometric distortion of small round objects with no counterpart in nadir imagery; kept at 0 as in all trials.,Nadir tiles have no perspective variation to model; warping would only distort tiny boxes. Kept at 0.,Vertical flips are exactly in-distribution for nadir imagery and have been in every trial including the best; kept at 0.5.,Horizontal flips are likewise in-distribution and costless; kept at 0.5.,"Channel swapping is a categorical color change that maps peach-orange to blue, destroying the primary discriminative cue; kept at 0.","This is the probe: under degrees=0 the measured slope is negative from 0.5 (0.3741) to 0.25 (0.3782), and the sub-0.25 region has never been tested without the degrees=45 confound. Testing 0.1 checks whether even less source-downsizing further helps this small-object-heavy distribution while retaining some densification of sparse scenes.","Mixup blends foliage over tiny peach fragments, diluting the color cue; cutmix at 0.25 already trended slightly negative, so mixup stays at 0 for now.","cutmix=0.25 (trial 12) scored 0.3777, marginally below the base; kept at 0 to preserve single-variable attribution for the mosaic probe.",With bounding-box-only labels copy-paste is likely a no-op or pastes rectangular background patches; kept at 0 to avoid a wasted lever.,Mosaic-free fine-tuning in the final epochs matches the unfragmented validation distribution and has been in every trial including the best; kept at 10.,0.015,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.1,0.0,0.0,0.0,10
17,"Trial 7 (0.3782) remains the best after the mosaic axis was fully re-bracketed under degrees=0 (0.1→0.3751, 0.25→0.3782, 0.5→0.3741), confirming an interior optimum at 0.25. All major photometric and geometric axes (hsv_h, hsv_s, hsv_v, degrees, translate, scale, cutmix, mosaic) are now bracketed and point back to the trial-7 base. The single remaining untested first-order lever is close_mosaic, which has sat at 10 in every trial: with mosaic at only 0.25 probability, the value of a dedicated mosaic-free fine-tuning phase is unknown, and disabling it (close_mosaic=0) lets the model see mosaic-densified scenes all the way to convergence. This trial runs a clean single-variable probe at close_mosaic=0 on the trial-7 base to bracket this axis endpoint-to-endpoint before spending remaining budget on fine refinement and low-probability regularizer probes.","Hue is the discriminative channel separating peach-orange from foliage-green; trial 14 showed hsv_h=0.05 regressed clearly (0.3715), so I keep the tight default from the best base.","The saturation bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at 0.6; unchanged from the best base.","Trial 10's probe at 0.7 was flat-to-slightly-negative, indicating the brightness optimum is near 0.5; unchanged from the best base.","The rotation bracket (45→0.368-0.372, 15→0.3732, 0→0.3782) was monotonic: flips already cover nadir symmetry and rotation's border-fill/blur corrupts tiny color fragments. Keep at 0.",Trial 11 showed translate=0.3 slightly regressed versus 0.15; keeping the confirmed base value that already mimics tile-edge truncation modestly.,"Scale was bracketed both under degrees=45 (0.15 clearly worse, 0.3≈0.5) and re-tested at 0.45 under degrees=0 (flat-to-negative); 0.3 stands as the confirmed value.",Shear produces off-distribution distortions of axis-aligned boxes on small round objects with no plausible real-world analogue in nadir imagery; keep disabled.,"Nadir tiles have no perspective variation to model, and warping corrupts tiny boxes; keep disabled.","Nadir imagery is fully flip-symmetric; vertical flip is a free, distribution-preserving augmentation kept at 0.5 in every trial including the best.",Same symmetry argument as flipud; kept at 0.5 from the best base.,"Channel swapping maps peach-orange to blue, destroying the primary discriminative color cue categorically; keep disabled.","The mosaic axis is now fully bracketed under degrees=0 (0.1→0.3751, 0.25→0.3782, 0.5→0.3741), confirming 0.25 as the interior optimum balancing scene densification against small-object shrinkage.","Mixup blends images, muddying the small color-fragment cues detection depends on; the similar cutmix probe already regressed slightly, so mixup stays disabled.","Trial 12's cutmix=0.25 probe scored 0.3777, marginally below the best; keeping it off preserves the clean single-variable attribution of this trial's close_mosaic probe.","With bounding-box-only labels, copy_paste is likely a no-op or crude box-level paste in Ultralytics; not worth confounding this probe.","This is the only untested first-order axis — it has been 10 in every trial. With mosaic at only 0.25, the mosaic-free fine-tuning phase may be unnecessary or even wasteful (it removes 10% of the already-modest mosaic exposure); probing the endpoint close_mosaic=0 brackets this axis cleanly against the known close_mosaic=10 result on an otherwise identical configuration.",0.015,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0
18,"Trial 17 completed the close_mosaic bracket (0→0.3772 vs 10→0.3782), confirming the mosaic-free fine-tuning phase helps and returning attention to the trial-7 base, which has survived brackets on mosaic, scale, degrees, hsv_s, hsv_v (upward), translate (upward), hsv_h (upward), and cutmix. The one first-order axis still only half-bracketed is translate downward: 0.15 has been in every trial, 0.3 regressed slightly, but values below 0.15 are untested. Since translation introduces border-fill regions (the same corruption mechanism that made rotation costly) while mosaic at 0.25 already supplies edge-truncation mimicry, a lighter translate may reduce corruption with little invariance loss. This trial runs a clean single-variable probe at translate=0.05 on the trial-7 base, completing the translate bracket before the remaining budget shifts to fine refinement and best-config exploitation.","Hue bracket is done: 0.05 regressed clearly (0.3715 vs 0.3782), confirming the peach-vs-foliage hue cue must stay tightly preserved. Keep the confirmed best value.","Saturation bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) shows an interior optimum at 0.6. Unchanged from the best base.",Brightness at 0.5 beat 0.7 marginally (0.3782 vs 0.3775) and the axis appears flat near the optimum; hold at 0.5 to keep this a single-variable translate probe.,"Rotation bracket was monotonic downward (45→~0.37, 15→0.3732, 0→0.3782): flips already cover nadir symmetry and rotation's border-fill/blur corrupts tiny fragments. Keep at 0.","The only untested half of this axis: 0.15→0.3782 and 0.3→0.3765 suggest less translation may be better, and translation's border-fill is the same corruption mechanism that made rotation harmful while mosaic=0.25 already provides truncation mimicry. Probe downward to 0.05 to complete the bracket.","Scale was bracketed twice (0.15 hurt clearly; 0.3 vs 0.45/0.5 flat-to-better under both bases), so 0.3 is the confirmed optimum. Unchanged.",Shear produces off-distribution geometric distortion of round fruit and skews axis-aligned boxes with no plausible test-time analogue in nadir imagery. Keep disabled.,Nadir orthomosaic tiles have essentially no perspective variation; warping would only distort tiny boxes. Keep disabled.,Nadir imagery is fully flip-symmetric and flips are lossless (no interpolation or border fill); 0.5 has been in every strong trial. Unchanged.,Same reasoning as flipud: cost-free true invariance for nadir scenes. Keep at 0.5.,"Channel swap is a categorical color change that would map peach-orange toward blue, destroying the sole discriminative cue — the clear hue-jitter regression (trial 14) supports keeping this off.","Mosaic was re-bracketed under degrees=0 (0.1→0.3751, 0.25→0.3782, 0.5→0.3741), confirming an interior optimum at 0.25. Unchanged.","Blending images washes out the low-contrast color fragments that detection depends on; the related cutmix probe was flat-to-negative, so mixup stays off.","Direct probe at 0.25 (trial 12) gave 0.3777, slightly below the base; no evidence of benefit, keep at 0.",With only bounding-box labels copy_paste has limited or no effect and risks pasting rectangular foliage patches with mislabeled extents; keep disabled rather than spending signal on a likely no-op.,"Endpoint bracket complete: close_mosaic=0 (0.3772) lost to 10 (0.3782), so the mosaic-free fine-tuning tail helps. Keep at 10.",0.015,0.6,0.5,0.0,0.05,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,10
19,"Trial 7 (0.3782) has survived complete brackets on mosaic, scale, degrees, hsv_s, hsv_v, hsv_h, translate (both directions after trial 18's clear regression at 0.05), cutmix, and close_mosaic — every axis points back to the same interior optimum. The only first-order regularizer never tested is mixup; copy_paste is likely a no-op with box-only labels, and bgr/shear/perspective are off-distribution for this color-cue-dependent nadir task. With 10 trials remaining, I run one clean single-variable probe at a low mixup probability (0.15) on the trial-7 base: mixup adds soft-label regularization that a small dataset and nano model may benefit from, and a low probability limits the risk of blending away the small peach color fragments. If it regresses, remaining budget shifts fully to fine exploitation around trial 7.",Hue bracket showed 0.05 regressed clearly (0.3715 vs 0.3782); the peach-orange vs foliage-green hue signal is the discriminative channel and must stay tightly preserved.,"Saturation bracket (0.3→0.3750, 0.6→0.3782, 0.85→0.3731) confirmed an interior optimum at 0.6; keeping it.","Brightness probe at 0.7 was flat-to-negative, so 0.5 remains the confirmed value for outdoor illumination robustness.","The degrees bracket was monotonic (45→0.368-0.372, 15→0.3732, 0→0.3782): rotation border-fill and blur only cost on this data since flips already cover the nadir symmetry. Keep at 0.","Translate is now fully bracketed: 0.05→0.3677, 0.15→0.3782, 0.3→0.3765 — a clear interior optimum at 0.15.","Scale was re-tested under degrees=0 (0.45→0.3777, flat) after the original bracket; 0.3 balances scale-up enlargement of small peaches against shrink cost. Keeping it.",Shear produces off-distribution distortions of a nadir scene and warps boxes of small round objects; never enabled and no evidence suggests trying it now.,Perspective warp is off-distribution for nadir tiles and adds interpolation corruption to tiny objects; keep disabled.,Vertical flip is a true invariance of nadir imagery and corruption-free; keep at 0.5.,Horizontal flip is likewise a true corruption-free invariance; keep at 0.5.,Channel swap destroys the peach-orange vs foliage-green color cue that detection depends on; keep disabled.,"Mosaic was fully re-bracketed under degrees=0 (0.1→0.3751, 0.25→0.3782, 0.5→0.3741) with a confirmed interior optimum at 0.25.","This is the single variable under test — the only untried regularizer with plausible benefit. A low 0.15 probability gives soft-label regularization for a small dataset and nano model while blending only ~1 in 7 images, limiting corruption of tiny color-fragment cues.",Cutmix at 0.25 slightly regressed (0.3777 vs 0.3782); keep disabled to isolate the mixup probe.,Likely a no-op with box-only labels and untested benefit; keep at 0 for clean attribution.,"The endpoint bracket showed close_mosaic=0 regressed (0.3772 vs 0.3782); the mosaic-free fine-tuning phase helps, so keep 10.",0.015,0.6,0.5,0.0,0.15,0.3,0.0,0.0,0.5,0.5,0.0,0.25,0.15,0.0,0.0,10
